id,post_id,user_id,viewed_at
18,631,114,2024-01-10 07:20:55
19,626,114,2024-01-10 07:21:18
20,571,114,2024-01-10 07:22:02
22,558,116,2024-01-10 12:33:47
23,551,116,2024-01-10 12:33:55
24,560,116,2024-01-10 12:34:06
25,588,116,2024-01-10 12:34:47
32,473,44,2024-01-11 18:32:10
34,633,44,2024-01-11 18:33:51
35,67,44,2024-01-11 18:38:57
36,66,44,2024-01-11 18:39:15
37,65,44,2024-01-11 18:39:33
38,64,44,2024-01-11 18:39:45
39,63,44,2024-01-11 18:39:58
40,151,47,2024-01-11 19:02:05
41,161,47,2024-01-11 19:02:19
42,415,47,2024-01-11 19:02:34
43,583,118,2024-01-11 19:28:22
44,556,118,2024-01-11 19:28:37
45,151,118,2024-01-11 19:28:57
47,159,47,2024-01-11 21:41:35
48,143,47,2024-01-11 21:41:53
49,512,47,2024-01-11 21:42:07
59,151,119,2024-01-12 15:42:21
61,629,119,2024-01-12 15:42:59
62,586,120,2024-01-12 18:39:01
63,151,120,2024-01-12 18:39:28
64,448,44,2024-01-12 20:30:02
65,447,44,2024-01-12 20:30:38
66,446,44,2024-01-12 20:31:10
67,631,44,2024-01-12 20:31:37
69,634,44,2024-01-12 20:32:12
70,540,47,2024-01-13 00:25:18
71,155,47,2024-01-13 00:25:39
72,150,47,2024-01-13 00:25:59
92,151,121,2024-01-13 12:25:02
93,627,121,2024-01-13 12:25:13
113,560,123,2024-01-15 06:18:43
114,583,123,2024-01-15 06:18:59
115,151,123,2024-01-15 06:19:27
116,151,124,2024-01-15 13:18:20
130,583,125,2024-01-16 07:48:23
132,586,126,2024-01-16 10:07:08
133,583,126,2024-01-16 10:07:29
134,548,126,2024-01-16 10:07:48
148,631,127,2024-01-16 14:18:27
149,588,127,2024-01-16 14:18:34
150,151,127,2024-01-16 14:18:45
151,629,127,2024-01-16 14:18:57
171,151,128,2024-01-16 17:48:51
181,626,130,2024-01-17 21:29:28
182,617,130,2024-01-17 21:30:04
183,590,131,2024-01-17 22:51:45
195,86,47,2024-01-19 15:15:59
196,560,47,2024-01-19 16:41:22
197,31,47,2024-01-19 16:41:33
198,154,47,2024-01-19 16:42:20
199,558,47,2024-01-19 16:42:39
200,548,47,2024-01-19 16:42:49
201,549,47,2024-01-19 16:43:05
202,499,47,2024-01-19 16:44:39
203,142,47,2024-01-19 16:44:55
204,151,68,2024-01-19 23:54:23
262,496,136,2024-01-22 09:27:49
263,633,136,2024-01-22 09:27:58
264,81,136,2024-01-22 09:28:16
290,19,47,2024-01-25 18:28:37
304,513,44,2024-01-27 16:14:51
314,151,141,2024-01-29 14:39:47
315,415,141,2024-01-29 14:40:49
323,516,47,2024-01-29 22:45:37
324,546,47,2024-01-30 03:15:37
326,633,47,2024-01-30 06:35:43
327,513,47,2024-01-30 06:36:06
328,148,47,2024-01-30 06:36:29
329,52,47,2024-01-30 06:36:44
330,461,47,2024-01-30 06:37:03
331,33,47,2024-01-30 06:37:24
332,487,47,2024-01-30 08:31:22
335,462,142,2024-01-30 14:14:04
370,583,47,2024-02-02 15:44:21
375,160,47,2024-02-05 22:41:26
376,469,47,2024-02-05 22:41:42
377,158,47,2024-02-06 06:52:31
381,629,47,2024-02-06 20:16:39
382,518,47,2024-02-06 20:17:24
383,517,47,2024-02-06 20:17:52
384,432,47,2024-02-06 20:19:23
385,412,47,2024-02-06 20:19:48
386,387,47,2024-02-06 20:20:09
387,379,47,2024-02-06 20:20:27
388,377,47,2024-02-06 20:20:40
389,453,47,2024-02-06 20:22:36
390,496,47,2024-02-06 20:25:21
391,468,47,2024-02-06 20:25:49
392,462,47,2024-02-06 20:26:04
393,456,47,2024-02-06 20:26:19
394,452,47,2024-02-06 20:26:29
395,436,47,2024-02-06 20:26:58
396,430,47,2024-02-06 20:27:29
397,423,47,2024-02-06 20:28:04
398,414,47,2024-02-06 20:28:39
399,413,47,2024-02-06 20:28:44
400,390,47,2024-02-06 20:28:59
401,386,47,2024-02-06 20:29:31
402,364,47,2024-02-06 20:30:05
403,363,47,2024-02-06 20:30:45
404,252,47,2024-02-06 20:31:01
405,213,47,2024-02-06 20:31:28
406,212,47,2024-02-06 20:31:36
407,211,47,2024-02-06 20:31:44
408,422,47,2024-02-07 01:34:41
409,459,26,2024-02-07 01:41:37
410,458,26,2024-02-07 01:41:43
411,617,26,2024-02-07 01:41:48
412,151,26,2024-02-07 15:50:25
413,415,26,2024-02-07 15:51:11
418,551,47,2024-02-08 00:27:15
419,558,26,2024-02-08 00:44:37
420,635,26,2024-02-08 00:44:54
421,634,26,2024-02-08 00:45:21
422,633,26,2024-02-08 00:45:25
423,491,47,2024-02-08 04:30:07
424,152,47,2024-02-08 04:30:19
425,14,47,2024-02-08 04:30:24
426,159,26,2024-02-08 06:41:50
427,540,26,2024-02-08 06:42:09
434,161,26,2024-02-08 14:35:51
435,588,47,2024-02-09 04:16:48
436,58,47,2024-02-09 04:17:05
437,163,47,2024-02-09 04:17:28
438,164,47,2024-02-09 04:18:04
440,427,47,2024-02-09 04:19:50
441,153,47,2024-02-09 17:02:09
442,426,47,2024-02-09 17:02:18
443,60,47,2024-02-09 17:02:33
444,64,47,2024-02-09 17:03:29
455,583,26,2024-02-10 15:53:44
456,578,26,2024-02-10 15:59:31
457,611,26,2024-02-10 16:00:29
458,609,26,2024-02-10 16:00:37
464,394,26,2024-03-06 14:05:37
465,393,26,2024-03-06 14:05:52
466,392,26,2024-03-06 14:05:59
467,160,26,2024-03-06 14:08:39
471,82,16,2024-03-07 12:59:44
472,81,26,2024-03-07 13:34:55
482,151,151,2024-03-09 04:42:58
483,415,151,2024-03-09 04:43:43
484,161,151,2024-03-09 04:43:47
485,159,151,2024-03-09 04:44:02
486,143,151,2024-03-09 04:44:56
487,560,151,2024-03-09 04:45:04
488,33,151,2024-03-09 04:45:24
489,531,151,2024-03-09 04:45:53
490,633,151,2024-03-09 04:46:04
534,151,36,2024-03-13 17:25:45
535,86,151,2024-03-14 12:14:18
576,81,151,2024-03-15 04:38:42
585,633,149,2024-03-15 11:23:16
587,151,155,2024-03-15 12:33:44
588,415,155,2024-03-15 12:33:55
589,633,155,2024-03-15 12:35:25
590,631,155,2024-03-15 12:35:31
591,629,155,2024-03-15 12:35:41
592,590,155,2024-03-15 12:35:50
593,588,155,2024-03-15 12:36:03
594,586,155,2024-03-15 12:36:16
595,583,155,2024-03-15 12:37:11
596,563,155,2024-03-15 12:37:58
597,558,155,2024-03-15 12:38:10
598,161,155,2024-03-15 12:38:25
599,159,155,2024-03-15 12:38:40
600,143,155,2024-03-15 12:38:59
601,540,155,2024-03-15 12:39:19
602,560,155,2024-03-15 12:39:22
603,512,155,2024-03-15 12:39:27
604,33,155,2024-03-15 12:39:38
605,31,155,2024-03-15 12:39:46
606,142,155,2024-03-15 12:40:02
607,549,153,2024-03-15 13:17:49
609,151,149,2024-03-15 18:05:16
610,540,149,2024-03-15 18:08:45
611,560,149,2024-03-15 18:10:05
